Camera,Grid,Treatment,Week,Trial,Weight Start,Weight End,Consumed,Chewed,Poo,
N2T1,N2,human,6,1,11.5,11.25,0.25,1,0,
N2T2,N2,human,6,1,12,11,1,1,0,
N2T3,N2,human,6,1,12,NA,NA,NA,NA,Tray flipped/moved
N2T4,N2,human,6,1,12.25,10.5,1.75,1,0,
N2T5,N2,human,6,1,12,11.75,0.25,1,0,
N2T6,N2,human,6,1,11.25,10,1.25,1,0,
N2T7,N2,human,6,1,11.75,11.25,0.5,1,0,
N2T8,N2,human,6,1,11,11,0,1,0,
N2T9,N2,human,6,1,11.25,11,0.25,1,0,
N2T10,N2,human,6,1,10.75,10,0.75,1,0,
N2T11,N2,human,6,1,11.5,11.5,0,1,0,
N2T12,N2,human,6,1,11.25,11,0.25,1,0,
S2T1,S2,control,6,2,11.75,11,0.75,1,0,
S2T2,S2,control,6,2,11.75,11.75,0,1,0,
S2T3,S2,control,6,2,12.5,11.75,0.75,1,0,
S2T4,S2,control,6,2,11.5,11.5,0,1,0,
S2T5,S2,control,6,2,12,0,12,1,0,
S2T6,S2,control,6,2,12.5,6.75,5.75,1,0,
S2T7,S2,control,6,2,10.5,4.5,6,1,1,
S2T8,S2,control,6,2,11.75,11.5,0.25,1,0,
S2T9,S2,control,6,2,12,11.75,0.25,1,0,
S2T10,S2,control,6,2,11.25,10.5,0.75,1,0,
S2T11,S2,control,6,2,11.25,4,7.25,1,0,
S2T12,S2,control,6,2,11.75,11.5,0.25,1,0,
N2T1,N2,human,6,2,11.25,11.25,0,1,0,
N2T2,N2,human,6,2,11,9.25,1.75,1,0,
N2T3,N2,human,6,2,11.75,11.5,0.25,1,0,
N2T4,N2,human,6,2,10.5,7.25,3.25,1,0,
N2T5,N2,human,6,2,11.75,10.75,1,1,0,
N2T6,N2,human,6,2,10,8.75,1.25,1,1,
N2T7,N2,human,6,2,11.25,10.5,0.75,1,0,
N2T8,N2,human,6,2,11,11,0,1,0,
N2T9,N2,human,6,2,11,10.75,0.25,1,0,
N2T10,N2,human,6,2,10,9.25,0.75,1,0,
N2T11,N2,human,6,2,11.5,11.25,0.25,1,0,
N2T12,N2,human,6,2,11,10.5,0.5,1,0,
S2T1,S2,control,8,1,12.5,12.5,0,0,0,
S2T2,S2,control,8,1,12,10.75,1.25,1,0,
S2T3,S2,control,8,1,12,0.5,11.5,1,1,
S2T4,S2,control,8,1,12.5,6.5,6,1,0,
S2T5,S2,control,8,1,11.5,11,0.5,1,0,
S2T6,S2,control,8,1,11.5,11,0.5,1,0,
S2T7,S2,control,8,1,12,11,1,1,0,
S2T8,S2,control,8,1,12,11,1,1,0,
S2T9,S2,control,8,1,11.25,10.75,0.5,1,0,
S2T10,S2,control,8,1,11.75,8.5,3.25,1,0,
S2T11,S2,control,8,1,11,10.5,0.5,1,0,
S2T12,S2,control,8,1,11.5,11.5,0,1,0,
N2T1,N2,human,8,1,12,11.75,0.25,1,0,
N2T2,N2,human,8,1,11.5,11.25,0.25,1,0,
N2T3,N2,human,8,1,11,10.5,0.5,1,0,
N2T4,N2,human,8,1,11.5,8.5,3,1,0,
N2T5,N2,human,8,1,12,11.75,0.25,1,0,
N2T6,N2,human,8,1,10.5,10.5,0,0,0,
N2T7,N2,human,8,1,11.5,7.75,3.75,1,0,
N2T8,N2,human,8,1,11.5,11.5,0,0,0,
N2T9,N2,human,8,1,11.5,11.5,0,0,0,
N2T10,N2,human,8,1,11.75,11.5,0.25,1,1,
N2T11,N2,human,8,1,11.5,11.5,0,1,0,
N2T12,N2,human,8,1,11.5,11.5,0,0,0,
S2T1,S2,control,8,2,12,NA,NA,NA,NA,Tray flipped/moved
S2T2,S2,control,8,2,12.5,NA,NA,NA,NA,Tray flipped/moved
S2T3,S2,control,8,2,10.75,10,0.75,1,0,
S2T4,S2,control,8,2,12,7.5,4.5,1,0,
S2T5,S2,control,8,2,11,0,11,1,0,
S2T6,S2,control,8,2,11,10.25,0.75,1,0,
S2T7,S2,control,8,2,12,7.5,4.5,1,0,
S2T8,S2,control,8,2,11,10,1,1,0,
S2T9,S2,control,8,2,10.75,10.25,0.5,1,0,
S2T10,S2,control,8,2,12,0,12,1,0,
S2T11,S2,control,8,2,10.5,0,10.5,1,0,
S2T12,S2,control,8,2,11.5,11.25,0.25,1,0,
N2T1,N2,human,8,2,11.75,10.75,1,1,0,
N2T2,N2,human,8,2,11.25,10.75,0.5,1,0,
N2T3,N2,human,8,2,10.5,10,0.5,1,0,
N2T4,N2,human,8,2,12,6,6,1,0,
N2T5,N2,human,8,2,11.75,11,0.75,1,0,
N2T6,N2,human,8,2,10.5,9.5,1,1,0,
N2T7,N2,human,8,2,11.75,10.75,1,1,0,
N2T8,N2,human,8,2,11.5,10,1.5,1,0,
N2T9,N2,human,8,2,11.5,11,0.5,1,0,
N2T10,N2,human,8,2,11.5,10.5,1,1,0,
N2T11,N2,human,8,2,11.5,11.5,0,1,0,
N2T12,N2,human,8,2,11.5,5.25,6.25,1,0,
