"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0,257.660568183743,305.284137112555,478.696887828938,498.79024954295,622.924838957981,763.061033885542,886.659727738591,1015.79021364637,1100.18360246328,1228.07481263603,1282.17413235626,4750.89629531034,4628.40315561651,4815.14151933116,5136.35622081318,4991.04971125694,5141.66332415859,5424.17589988797,5381.57533924831,5620.63791448775,5777.34978223707,5691.70303634263,5946.12566184387
"2",257.660568183743,0,173.812666330541,454.517632877179,297.304163275486,452.919601326775,595.715005388499,661.289327183668,842.260126883828,972.285479715516,1041.6820756663,1147.99953625735,4580.64798950339,4443.7374878679,4631.9805978335,4955.38234125002,4801.37635705622,4955.06255363007,5239.06988974261,5187.23603019758,5432.29618991857,5588.10981392671,5491.30292458842,5752.46054556593
"3",305.284137112555,173.812666330541,0,283.857248131276,198.65350118761,319.380527359309,461.537576406127,588.431897460716,714.087955594125,818.889340679206,924.134300747869,998.224742797647,4453.69984273152,4326.63845208755,4513.80672415128,4835.68541842219,4688.12680467851,4839.47510212745,5122.39859578615,5077.75699219379,5318.07993359487,5474.59845502738,5387.00171931579,5642.46981895219
"4",478.696887828938,454.517632877179,283.857248131276,0,341.144539527434,315.793569594962,402.075881294094,637.806239680644,627.038478347731,648.41543718538,845.127981182493,830.118731311366,4308.73373059161,4202.46849029462,4386.96308377103,4704.99919189224,4570.85161078347,4717.14948383544,4997.30947429471,4967.14739623541,5197.57656027363,5355.23317542366,5285.94132277177,5529.81668034674
"5",498.79024954295,297.304163275486,198.65350118761,341.144539527434,0,163.634175330275,301.886380926085,389.892183350177,545.158760051253,688.471352905704,745.28602760475,859.154332965499,4283.60118747145,4148.66316879988,4336.62042496662,4659.64952962541,4507.5685192558,4660.48711822952,4944.18142561433,4894.89526104606,5138.20310047731,5294.26942115203,5201.28679066361,5459.95485557989
"6",622.924838957981,452.919601326775,319.380527359309,315.793569594962,163.634175330275,0,143.609724938866,322.84454672469,395.036844187255,524.929898841742,605.165904130441,696.818344152312,4135.68270878589,4007.26868245793,4194.47595541148,4516.4598818487,4368.82119880595,4520.09555508586,4803.02597558775,4758.77574072209,4998.72317783257,5155.26638361485,5068.8704057102,5323.40602044763
"7",763.061033885542,595.715005388499,461.537576406127,402.075881294094,301.886380926085,143.609724938866,0,272.801500791274,252.793263459042,392.237669271091,466.664919457401,558.150433406788,3992.49564246634,3865.62794042639,4052.60330935904,4374.28238343349,4227.98943906296,4378.72213207487,4661.40364386715,4618.8307994024,4857.60634216207,5014.29432552679,4930.3226979737,5183.26232304378
"8",886.659727738591,661.289327183668,588.431897460716,637.806239680644,389.892183350177,322.84454672469,272.801500791274,0,314.402165810135,547.378322685864,433.202285690418,663.05366577573,3948.55583883588,3797.61361523524,3986.93793569082,4311.91546520379,4150.84441658609,4306.7796763497,4591.75282740119,4533.23091601773,4782.29300652586,4937.3452555581,4833.8181243908,5098.6101121203
"9",1015.79021364637,842.260126883828,714.087955594125,627.038478347731,545.158760051253,395.036844187255,252.793263459042,314.402165810135,0,239.87006658513,218.673402072033,351.458321805476,3740.91104630301,3612.83680885901,3799.83789769337,4121.60309524324,3975.29794980247,4125.93502563511,4408.61220839952,4366.47292220815,4604.84950158295,4761.56476195956,4678.78991105937,4930.80599938158
"10",1100.18360246328,972.285479715516,818.889340679206,648.41543718538,688.471352905704,524.929898841742,392.237669271091,547.378322685864,239.87006658513,0,327.148662650318,182.50824879265,3660.6439444725,3555.25916531358,3739.29029923204,4056.85493964891,3924.90607397366,4070.09299091042,4349.74091810099,4322.80618182457,4550.7180728501,4708.55280057246,4644.71648504865,4884.64572789224
"11",1228.07481263603,1041.6820756663,924.134300747869,845.127981182493,745.28602760475,605.165904130441,466.664919457401,433.202285690418,218.673402072033,327.148662650318,0,315.345454175067,3539.41684415156,3403.91460698421,3591.63414631773,3914.44587542902,3764.22722860545,3916.19647912221,4199.55845643084,4153.65283334068,4394.42493029685,4550.78974162258,4463.98202099956,4718.33808344445
"12",1282.17413235626,1147.99953625735,998.224742797647,830.118731311366,859.154332965499,696.818344152312,558.150433406788,663.05366577573,351.458321805476,182.50824879265,315.345454175067,0,3478.63273924819,3375.6106752819,3559.17703944598,3876.14976121422,3746.23349676699,3890.53745930427,4169.69972450647,4145.16669717492,4371.2951386055,4529.26190483658,4468.85665427703,4706.41403939071
