"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"1",0,0.0433325131080131,0.0513416894418419,0.08050567967319,0.0838849156424113,0.10476146559688,0.128329113321988,0.149115538110515,0.170832281625776,0.185025286216725,0.206533612385045,0.215631859343966,0.798990227501701,0.778389731202091,0.809794779520014,0.863815619265002,0.839378444906465,0.864708150578199,0.912220193174651,0.905055769975017,0.945260533351192,0.971615823612705,0.957212033520606,1
"2",0.0433325131080131,0,0.0292312467336324,0.0764392915194858,0.0499996434961472,0.0761705397908335,0.100185404625938,0.111213479968502,0.141648558201282,0.16351579751411,0.175186690444627,0.193066813845531,0.770358423283464,0.747333262124487,0.778991373753972,0.833380023070917,0.807479799471196,0.833326242233086,0.881089668750457,0.872372419487185,0.913585837039648,0.939790063601491,0.923509397022327,0.96743003305149
"3",0.0513416894418419,0.0292312467336324,0,0.047738185210713,0.0334088972357857,0.0537123743295177,0.0776198827024126,0.0989605553136335,0.120092980909638,0.13771813568186,0.155417889446571,0.16787817808884,0.749008698438849,0.727639928609561,0.759117277510002,0.813249785394319,0.788433859506551,0.813887122026739,0.861468271458916,0.853960592319403,0.894377319961609,0.920700093870826,0.9059683608579,0.948932151763924
"4",0.08050567967319,0.0764392915194858,0.047738185210713,0,0.0573725748375196,0.0531091314839512,0.0676198089579916,0.107264170983373,0.105453284038617,0.10904839118121,0.142130864573828,0.139606657934967,0.724628771006411,0.706757429844066,0.737785128209122,0.791271402500639,0.768710900295045,0.793314798929538,0.840431191416338,0.835358631606033,0.87411145607405,0.90062563086886,0.88897235332437,0.929986514720236
"5",0.0838849156424113,0.0499996434961472,0.0334088972357857,0.0573725748375196,0,0.0275194613494819,0.0507702658999088,0.0655707944169603,0.0916830203487831,0.115784864306452,0.125339770800209,0.144489770621342,0.720402061960984,0.697708626546819,0.72931866421771,0.783644644365029,0.758068156578113,0.783785507281781,0.831496289649748,0.823207503409568,0.864126221456944,0.890372945719129,0.874735430507317,0.918237381126382
"6",0.10476146559688,0.0761705397908335,0.0537123743295177,0.0531091314839512,0.0275194613494819,0,0.0241518146615039,0.054294941796534,0.0664360066794746,0.088280996516808,0.101774825919636,0.117188634041789,0.695525615162231,0.673929363479899,0.705413271422654,0.759563476909124,0.73473408522806,0.760174912563855,0.807757226929905,0.800315366905045,0.840668943461663,0.866995868704231,0.852466075218862,0.895273043859093
"7",0.128329113321988,0.100185404625938,0.0776198827024126,0.0676198089579916,0.0507702658999088,0.0241518146615039,0,0.0458788657195447,0.0425139456909244,0.065965250581243,0.0784821825162521,0.0938679175565401,0.671444881847365,0.650108685935116,0.681553593016791,0.73565252942822,0.711049459683279,0.736399191859164,0.783939645571106,0.776779883587276,0.816936374778152,0.843287648241843,0.829165574083213,0.871704134392019
"8",0.149115538110515,0.111213479968502,0.0989605553136335,0.107264170983373,0.0655707944169603,0.054294941796534,0.0458788657195447,0,0.0528751297382841,0.0920562991459087,0.0728545460231804,0.111510200672436,0.6640552291341,0.638670258787907,0.670510204867497,0.72516386474528,0.698075461677836,0.724300144543898,0.772225998664364,0.762383974679068,0.804270423885204,0.83034660488945,0.812935749980744,0.857467601944227
"9",0.170832281625776,0.141648558201282,0.120092980909638,0.105453284038617,0.0916830203487831,0.0664360066794746,0.0425139456909244,0.0528751297382841,0,0.0403405646342743,0.0367757788025326,0.0591071130670471,0.629134205875993,0.60759509877877,0.639044331349541,0.693157751725877,0.668552630044778,0.69388628163564,0.741426007305809,0.734339159736849,0.774428554568254,0.800784415390746,0.786863611222185,0.829246854136035
"10",0.185025286216725,0.16351579751411,0.13771813568186,0.10904839118121,0.115784864306452,0.088280996516808,0.065965250581243,0.0920562991459087,0.0403405646342743,0,0.0550187939601785,0.0306936414014591,0.615635146758292,0.597911878675484,0.628861633925258,0.682268618317577,0.660077888894894,0.684494950557149,0.731525225915281,0.726995429908906,0.765324907620425,0.79186903680612,0.781133253683768,0.821483770387981
"11",0.206533612385045,0.175186690444627,0.155417889446571,0.142130864573828,0.125339770800209,0.101774825919636,0.0784821825162521,0.0728545460231804,0.0367757788025326,0.0550187939601785,0,0.0530337688957081,0.595247568826858,0.572459244988218,0.604029304218233,0.658318726855692,0.633055445289426,0.658613137669178,0.706268029849974,0.69854777203828,0.739040037195271,0.765336960640585,0.75073792160916,0.793514693731061
"12",0.215631859343966,0.193066813845531,0.16787817808884,0.139606657934967,0.144489770621342,0.117188634041789,0.0938679175565401,0.111510200672436,0.0591071130670471,0.0306936414014591,0.0530337688957081,0,0.585025096521334,0.567699182165473,0.598570773955404,0.651878211401984,0.630029318217486,0.65429788749164,0.701246485802228,0.697120601364742,0.735150144346256,0.761716479337249,0.751557721518326,0.791509346933524
"13",0.798990227501701,0.770358423283464,0.749008698438849,0.724628771006411,0.720402061960984,0.695525615162231,0.671444881847365,0.6640552291341,0.629134205875993,0.615635146758292,0.595247568826858,0.585025096521334,0,0.0635992113676817,0.0552466261449856,0.0790146137211179,0.0932152114786243,0.0964603423058674,0.130420980875076,0.151934103977733,0.167167892908382,0.19290979983059,0.212922413232456,0.228901910929836
"14",0.778389731202091,0.747333262124487,0.727639928609561,0.706757429844066,0.697708626546819,0.673929363479899,0.650108685935116,0.638670258787907,0.60759509877877,0.597911878675484,0.572459244988218,0.567699182165473,0.0635992113676817,0,0.0321984346760864,0.0872979880442764,0.0645910956527702,0.086610200387449,0.133831100473809,0.133890411462915,0.167495156775444,0.194124552402068,0.193872034478295,0.225337631882353
"15",0.809794779520014,0.778991373753972,0.759117277510002,0.737785128209122,0.72931866421771,0.705413271422654,0.681553593016791,0.670510204867497,0.639044331349541,0.628861633925258,0.604029304218233,0.598570773955404,0.0552466261449856,0.0321984346760864,0,0.0551012888378473,0.0414760415135748,0.0568552352439852,0.102682988748819,0.108486230107616,0.137332254086912,0.164052113074935,0.169797756477624,0.196586236172436
"16",0.863815619265002,0.833380023070917,0.813249785394319,0.791271402500639,0.783644644365029,0.759563476909124,0.73565252942822,0.72516386474528,0.693157751725877,0.682268618317577,0.658318726855692,0.651878211401984,0.0790146137211179,0.0872979880442764,0.0551012888378473,0,0.0477959327474708,0.0264503589996195,0.0520114393629258,0.0770513433419378,0.0886608542235082,0.114892053695708,0.135966570469825,0.150206776825268
"17",0.839378444906465,0.807479799471196,0.788433859506551,0.768710900295045,0.758068156578113,0.73473408522806,0.711049459683279,0.698075461677836,0.668552630044778,0.660077888894894,0.633055445289426,0.630029318217486,0.0932152114786243,0.0645910956527702,0.0414760415135748,0.0477959327474708,0,0.0294592705009424,0.0765247567554971,0.0693031722097471,0.106217547115973,0.132310264565887,0.129701494132175,0.161658391064695
"18",0.864708150578199,0.833326242233086,0.813887122026739,0.793314798929538,0.783785507281781,0.760174912563855,0.736399191859164,0.724300144543898,0.69388628163564,0.684494950557149,0.658613137669178,0.65429788749164,0.0964603423058674,0.086610200387449,0.0568552352439852,0.0264503589996195,0.0294592705009424,0,0.0482018435142645,0.0554738001086018,0.0808916675812609,0.107548885686721,0.116650462561821,0.139738278704056
"19",0.912220193174651,0.881089668750457,0.861468271458916,0.840431191416338,0.831496289649748,0.807757226929905,0.783939645571106,0.772225998664364,0.741426007305809,0.731525225915281,0.706268029849974,0.701246485802228,0.130420980875076,0.133831100473809,0.102682988748819,0.0520114393629258,0.0765247567554971,0.0482018435142645,0,0.0479518776859795,0.0367529397785411,0.0628853191802489,0.0931238516063745,0.0984849053379799
"20",0.905055769975017,0.872372419487185,0.853960592319403,0.835358631606033,0.823207503409568,0.800315366905045,0.776779883587276,0.762383974679068,0.734339159736849,0.726995429908906,0.69854777203828,0.697120601364742,0.151934103977733,0.133890411462915,0.108486230107616,0.0770513433419378,0.0693031722097471,0.0554738001086018,0.0479518776859795,0,0.0515314751244154,0.0723504294156322,0.0615397625820968,0.0950846547654686
"21",0.945260533351192,0.913585837039648,0.894377319961609,0.87411145607405,0.864126221456944,0.840668943461663,0.816936374778152,0.804270423885204,0.774428554568254,0.765324907620425,0.739040037195271,0.735150144346256,0.167167892908382,0.167495156775444,0.137332254086912,0.0886608542235082,0.106217547115973,0.0808916675812609,0.0367529397785411,0.0515314751244154,0,0.026722599236711,0.0675858632855287,0.0617627471172246
"22",0.971615823612705,0.939790063601491,0.920700093870826,0.90062563086886,0.890372945719129,0.866995868704231,0.843287648241843,0.83034660488945,0.800784415390746,0.79186903680612,0.765336960640585,0.761716479337249,0.19290979983059,0.194124552402068,0.164052113074935,0.114892053695708,0.132310264565887,0.107548885686721,0.0628853191802489,0.0723504294156322,0.026722599236711,0,0.0646265954069753,0.0374691331429651
"23",0.957212033520606,0.923509397022327,0.9059683608579,0.88897235332437,0.874735430507317,0.852466075218862,0.829165574083213,0.812935749980744,0.786863611222185,0.781133253683768,0.75073792160916,0.751557721518326,0.212922413232456,0.193872034478295,0.169797756477624,0.135966570469825,0.129701494132175,0.116650462561821,0.0931238516063745,0.0615397625820968,0.0675858632855287,0.0646265954069753,0,0.0583312540729972
"24",1,0.96743003305149,0.948932151763924,0.929986514720236,0.918237381126382,0.895273043859093,0.871704134392019,0.857467601944227,0.829246854136035,0.821483770387981,0.793514693731061,0.791509346933524,0.228901910929836,0.225337631882353,0.196586236172436,0.150206776825268,0.161658391064695,0.139738278704056,0.0984849053379799,0.0950846547654686,0.0617627471172246,0.0374691331429651,0.0583312540729972,0
